"Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","Hour","Day"
"2015-00004848",2015-01-26 07:16:00,"2000 BLOCK BERKELEY WAY","1194","",1,"BM4ICN","Black","Male","40+","Investigation","Citation","No Search",7,"2"
"2015-00004849",2015-01-26 07:43:00,"1700 BLOCK SAN PABLO AVE","1194","",1,"BM4ICN","Black","Male","40+","Investigation","Citation","No Search",7,"2"
"2015-00004865",2015-01-26 09:46:00,"M L KING JR WAY / UNIVERSITY AVE","T","",1,"OF4TCN","Other","Female","40+","Traffic","Citation","No Search",9,"2"
"2015-00004870",2015-01-26 10:05:00,"M L KING JR WAY / UNIVERSITY AVE","T","",1,"OM4TCN","Other","Male","40+","Traffic","Citation","No Search",10,"2"
"2015-00004876",2015-01-26 10:21:00,"UNIVERSITY AVE / M L KING JR WAY","T","",1,"OF2TCN","Other","Female","18-29","Traffic","Citation","No Search",10,"2"
"2015-00004882",2015-01-26 10:49:00,"HASTE ST / ELLSWORTH ST","T","",1,"OM2TCN","Other","Male","18-29","Traffic","Citation","No Search",10,"2"
"2015-00004887",2015-01-26 11:12:00,"ADELINE ST / OREGON ST","T","",1,"OM2TCN","Other","Male","18-29","Traffic","Citation","No Search",11,"2"
"2015-00004902",2015-01-26 12:35:00,"1900 BLOCK SAN PABLO AVE","1194","",1,"BM2RCN","Black","Male","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",12,"2"
"2015-00004904",2015-01-26 12:51:00,"TELEGRAPH AVE / DURANT AVE","T","",1,"WF2TCN","White","Female","18-29","Traffic","Citation","No Search",12,"2"
"2015-00004905",2015-01-26 12:53:00,"DELAWARE ST / ACTON ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",12,"2"
"2015-00004909",2015-01-26 13:04:00,"UNIVERSITY AVE / SHATTUCK AVE","1194","",1,"WM2RCN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",13,"2"
"2015-00004911",2015-01-26 13:16:00,"SHATTUCK AVE / UNIVERSITY AVE","1194","",1,"BM4RCN","Black","Male","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",13,"2"
"2015-00004915",2015-01-26 13:30:00,"M L KING JR WAY / CARLETON ST","T","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",13,"2"
"2015-00004916",2015-01-26 13:30:00,"2100 BLOCK SHATTUCK AVE","1194","",1,"BF3RCN","Black","Female","30-39","Probation/ Paroleeasonable Suspicion","Citation","No Search",13,"2"
